,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
0,INV-24292600043,02-01-2020,4404,KUM & GO #292 / Ankeny,1825 N Ankeny Blvd,Ankeny,50021,POINT (-93.619787 41.60566),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10805,Crown Royal Regal Apple,24,375,8,12,2,24,0.75,0.19
1,INV-24306300051,02-01-2020,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501,POINT (-93.619787 41.60566),90,WAPELLO,1031100,American Vodkas,434,LUXCO INC,36307,Hawkeye Vodka,12,1000,4.05,6.08,12,72.96,12,3.17
2,INV-24290400075,02-01-2020,2502,Hy-Vee Wine and Spirits / Ankeny,410 North Ankeny Blvd,Ankeny,50021,POINT (-93.619787 41.60566),77,POLK,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5326,Johnnie Walker Black,12,750,21.49,32.24,4,128.96,3,0.79
3,INV-24312800016,02-01-2020,5709,JW Liquor,4518 Mortonsen Street Suite #109,Ames,50014,POINT (-93.619787 41.60566),85,STORY,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,16.49,24.74,6,121.5,4.5,1.18
4,INV-24294900180,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,74086,Godiva Dark Chocolate Liqueur,12,750,17,25.5,3,76.5,2.25,0.59
5,INV-24312100011,02-01-2020,4485,DYNO'S 51 / SANBORN,101 W 7th St,Sanborn,51248,POINT (-95.656064 43.186035000000004),71,OBRIEN,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10808,Crown Royal Regal Apple,12,1000,18.89,28.34,3,85.02,3,0.79
6,INV-24291000063,02-01-2020,2650,Hy-Vee Wine and Spirits / Harlan,1808 23rd St,Harlan,51537,POINT (-95.339881 41.650658),83,SHELBY,1031100,American Vodkas,260,DIAGEO AMERICAS,37991,Smirnoff 80prf Mini,12,50,7.47,11.21,2,22.42,0.1,0.02
7,INV-24291800036,02-01-2020,3656,Target Store T-1767 / Ankeny,2135 SE Delaware Ave,Ankeny,50021,POINT (-93.581201 41.708563),77,POLK,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65256,Jagermeister Liqueur,12,750,12.45,18.68,12,224.16,9,2.37
8,INV-24290200013,02-01-2020,5144,Sam's Club 6979 / Ankeny,4625 SE Delaware Ave,Ankeny,50021,POINT (-93.581273 41.691),77,POLK,1011200,Straight Bourbon Whiskies,260,DIAGEO AMERICAS,17086,Bulleit Bourbon,12,750,16.5,24.75,12,297,9,2.37
9,INV-24304100014,02-01-2020,5314,Tobacco Hut & Liquor,3134 Manawa Center Dr. # 9,Council Bluffs,51501,POINT (-95.847514 41.228712),78,POTTAWATTA,1081200,Cream Liqueurs,305,Mhw LTD,73055,Rumchata,12,750,13,19.5,1,19.5,0.75,0.19
